,FTA/Game,Ref,Refd Games
0,47.4615384615,Aaron Smith,13.0
1,45.9821428571,Ben Taylor,56.0
2,47.1403508772,Bennie Adams,57.0
3,47.828125,Bill Kennedy,64.0
4,46.6734693878,Bill Spooner,49.0
5,44.7878787879,Brent Barnaky,66.0
6,47.5384615385,Brett Nansel,13.0
7,43.2727272727,Brian Forte,66.0
8,59.3333333333,C.J. Washington,3.0
9,47.0625,Courtney Kirkland,64.0
10,48.7,Curtis Blair,50.0
11,44.5344827586,Dan Crawford,58.0
12,46.126984127,David Guthrie,63.0
13,43.0188679245,David Jones,53.0
14,45.06,Dedric Taylor,50.0
15,47.25,Derek Richardson,52.0
16,48.078125,Derrick Collins,64.0
17,45.0,Derrick Stafford,59.0
18,45.1320754717,Ed Malloy,53.0
19,46.0350877193,Eli Roe,57.0
20,45.2950819672,Eric Dalen,61.0
21,46.6825396825,Eric Lewis,63.0
22,46.3728813559,Gary Zielinski,59.0
23,45.1960784314,Gediminas Petraitis,51.0
24,45.5714285714,Haywoode Workman,56.0
25,47.9464285714,J.T. Orr,56.0
26,47.2033898305,James Capers,59.0
27,47.2923076923,James Williams,65.0
28,45.5161290323,Jason Phillips,62.0
29,50.0,Joe Crawford,5.0
30,46.671641791,John Goble,67.0
31,50.8939393939,Josh Tiven,66.0
32,47.5185185185,Justin Van Duyne,54.0
33,48.4516129032,Kane Fitzgerald,62.0
34,47.1153846154,Karl Lane,52.0
35,50.9838709677,Ken Mauer,62.0
36,48.0,Kevin Cutler,55.0
37,44.5178571429,Kevin Scott,56.0
38,48.2678571429,Lauren Holtkamp,56.0
39,44.5283018868,Leon Wood,53.0
40,47.35,Leroy Richardson,60.0
41,47.5862068966,Marat Kogut,58.0
42,45.303030303,Marc Davis,66.0
43,48.0158730159,Mark Ayotte,63.0
44,47.064516129,Mark Lindsay,62.0
45,46.7704918033,Matt Boland,61.0
46,45.6896551724,Michael Smith,58.0
47,44.9193548387,Mike Callahan,62.0
48,48.7291666667,Mitchell Ervin,48.0
49,44.421875,Monty McCutchen,64.0
50,46.53125,Nick Buchert,64.0
51,45.7586206897,Pat Fraher,58.0
52,47.3846153846,Rodney Mott,65.0
53,43.390625,Ron Garretson,64.0
54,45.95,Scott Foster,60.0
55,46.8947368421,Scott Twardoski,57.0
56,48.9107142857,Scott Wall,56.0
57,48.5409836066,Sean Corbin,61.0
58,47.484375,Sean Wright,64.0
59,48.5625,Steve Anderson,48.0
60,45.953125,Tom Washington,64.0
61,47.4838709677,Tony Brothers,62.0
62,46.3448275862,Tony Brown,58.0
63,45.8387096774,Tre Maddox,62.0
64,47.693877551,Tyler Ford,49.0
65,51.0757575758,Zach Zarba,66.0
