,HFTA,AFTA,Total
HOU,1165,1242,2407
MIN,1146,1067,2213
TOR,1150,1040,2190
LAC,1062,1090,2152
DET,1065,1030,2095
SAC,1094,995,2089
OKC,1017,1050,2067
LAL,1023,1005,2028
MEM,1086,938,2024
DEN,1103,871,1974
CHO,1031,910,1941
BOS,987,942,1929
PHO,974,931,1905
MIA,1035,854,1889
POR,935,954,1889
UTA,1013,872,1885
IND,948,924,1872
MIL,975,888,1863
PHI,959,891,1850
WAS,968,881,1849
DAL,957,874,1831
NOP,922,901,1823
GSW,894,896,1790
CLE,903,878,1781
NYK,851,902,1753
CHI,872,848,1720
BRK,827,872,1699
SAS,850,822,1672
ORL,864,785,1649
ATL,734,904,1638
