GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2015-10-27,ATL,DET,94,106,15,26,Eli Roe,Michael Smith,Zach Zarba
2,2015-10-27,CHI,CLE,97,95,23,17,Mark Ayotte,Scott Foster,Ben Taylor
3,2015-10-27,GSW,NOP,111,95,22,27,James Capers,Derrick Collins,Scott Twardoski
4,2015-10-28,BOS,PHI,112,95,27,23,Rodney Mott,Eli Roe,Zach Zarba
5,2015-10-28,BRK,CHI,100,115,28,20,Nick Buchert,Kevin Scott,Derrick Stafford
6,2015-10-28,DET,UTA,92,87,34,21,Joe Crawford,Justin Van Duyne,Scott Wall
7,2015-10-28,HOU,DEN,85,105,26,18,Brent Barnaky,Dan Crawford,Brian Forte
8,2015-10-28,LAL,MIN,111,112,35,37,J.T. Orr,Bill Spooner,Gary Zielinski
9,2015-10-28,MEM,CLE,76,106,22,17,Kane Fitzgerald,John Goble,Derek Richardson
10,2015-10-28,MIA,CHO,104,94,21,29,Marc Davis,Karl Lane,Michael Smith
11,2015-10-28,MIL,NYK,97,122,31,35,Mark Ayotte,Mike Callahan,Tyler Ford
12,2015-10-28,OKC,SAS,112,106,22,13,Tony Brown,Tre Maddox,Monty McCutchen
13,2015-10-28,ORL,WAS,87,88,12,25,Eric Lewis,Jason Phillips,Dedric Taylor
14,2015-10-28,PHO,DAL,95,111,33,31,Curtis Blair,Derrick Collins,Tom Washington
15,2015-10-28,POR,NOP,112,94,14,18,Steve Anderson,Ron Garretson,David Guthrie
16,2015-10-28,SAC,LAC,104,111,18,31,Lauren Holtkamp,Courtney Kirkland,Sean Wright
17,2015-10-28,TOR,IND,106,99,39,31,Bennie Adams,Ken Mauer,Leroy Richardson
18,2015-10-29,IND,MEM,103,112,24,29,Scott Foster,Ben Taylor,Josh Tiven
19,2015-10-29,LAC,DAL,104,88,33,15,James Capers,Sean Corbin,Eric Dalen
20,2015-10-29,NYK,ATL,101,112,21,26,Tony Brothers,James Williams,Leon Wood
21,2015-10-30,ATL,CHO,97,94,22,13,Jason Phillips,Dedric Taylor,Scott Wall
22,2015-10-30,BOS,TOR,103,113,41,35,Mike Callahan,Tyler Ford,Eric Lewis
23,2015-10-30,CLE,MIA,102,92,21,22,Dan Crawford,Tre Maddox,Rodney Mott
24,2015-10-30,DEN,MIN,78,95,20,41,Curtis Blair,Derrick Collins,Tom Washington
25,2015-10-30,DET,CHI,98,94,28,26,Bennie Adams,Marat Kogut,Ken Mauer
26,2015-10-30,HOU,GSW,92,112,36,25,Marc Davis,Karl Lane,Michael Smith
27,2015-10-30,MIL,WAS,113,118,28,44,Pat Fraher,J.T. Orr,Bill Spooner
28,2015-10-30,ORL,OKC,136,139,38,38,Joe Crawford,David Jones,Justin Van Duyne
29,2015-10-30,PHI,UTA,71,99,37,25,Mark Lindsay,Ed Malloy,Gediminas Petraitis
30,2015-10-30,PHO,POR,110,92,42,19,Lauren Holtkamp,Courtney Kirkland,Sean Wright
31,2015-10-30,SAC,LAL,132,114,30,27,Steve Anderson,Ron Garretson,David Guthrie
