GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1,2015-04-18,CHI,MIL,103,91
2,2015-04-18,GSW,NOP,106,99
3,2015-04-18,HOU,DAL,118,108
4,2015-04-18,TOR,WAS,86,93
5,2015-04-19,ATL,BRK,99,92
6,2015-04-19,CLE,BOS,113,100
7,2015-04-19,LAC,SAS,107,92
8,2015-04-19,MEM,POR,100,86
9,2015-04-20,CHI,MIL,91,82
10,2015-04-20,GSW,NOP,97,87
11,2015-04-21,CLE,BOS,99,91
12,2015-04-21,HOU,DAL,111,99
13,2015-04-21,TOR,WAS,106,117
14,2015-04-22,ATL,BRK,96,91
15,2015-04-22,LAC,SAS,107,111
16,2015-04-22,MEM,POR,97,82
17,2015-04-23,BOS,CLE,95,103
18,2015-04-23,MIL,CHI,106,113
19,2015-04-23,NOP,GSW,119,123
20,2015-04-24,DAL,HOU,128,130
21,2015-04-24,SAS,LAC,100,73
22,2015-04-24,WAS,TOR,106,99
23,2015-04-25,BRK,ATL,91,83
24,2015-04-25,MIL,CHI,92,90
25,2015-04-25,NOP,GSW,98,109
26,2015-04-25,POR,MEM,109,115
27,2015-04-26,BOS,CLE,93,101
28,2015-04-26,DAL,HOU,121,109
29,2015-04-26,SAS,LAC,105,114
30,2015-04-26,WAS,TOR,125,94
31,2015-04-27,BRK,ATL,120,115
32,2015-04-27,CHI,MIL,88,94
33,2015-04-27,POR,MEM,99,92
34,2015-04-28,HOU,DAL,103,94
35,2015-04-28,LAC,SAS,107,111
36,2015-04-29,ATL,BRK,107,97
37,2015-04-29,MEM,POR,99,93
38,2015-04-30,MIL,CHI,66,120
39,2015-04-30,SAS,LAC,96,102
40,2015-05-01,BRK,ATL,87,111
41,2015-05-02,LAC,SAS,111,109
42,2015-05-03,ATL,WAS,98,104
43,2015-05-03,GSW,MEM,101,86
44,2015-05-04,CLE,CHI,92,99
45,2015-05-04,HOU,LAC,101,117
46,2015-05-05,ATL,WAS,106,90
47,2015-05-05,GSW,MEM,90,97
48,2015-05-06,CLE,CHI,106,91
49,2015-05-06,HOU,LAC,115,109
50,2015-05-08,CHI,CLE,99,96
51,2015-05-08,LAC,HOU,124,99
52,2015-05-09,MEM,GSW,99,89
53,2015-05-09,WAS,ATL,103,101
54,2015-05-10,CHI,CLE,84,86
55,2015-05-10,LAC,HOU,128,95
56,2015-05-11,MEM,GSW,84,101
57,2015-05-11,WAS,ATL,101,106
58,2015-05-12,CLE,CHI,106,101
59,2015-05-12,HOU,LAC,124,103
60,2015-05-13,ATL,WAS,82,81
61,2015-05-13,GSW,MEM,98,78
62,2015-05-14,CHI,CLE,73,94
63,2015-05-14,LAC,HOU,107,119
64,2015-05-15,MEM,GSW,95,108
65,2015-05-15,WAS,ATL,91,94
66,2015-05-17,HOU,LAC,113,100
67,2015-05-19,GSW,HOU,110,106
68,2015-05-20,ATL,CLE,89,97
69,2015-05-21,GSW,HOU,99,98
70,2015-05-22,ATL,CLE,82,94
71,2015-05-23,HOU,GSW,80,115
72,2015-05-24,CLE,ATL,114,111
73,2015-05-25,HOU,GSW,128,115
74,2015-05-26,CLE,ATL,118,88
75,2015-05-27,GSW,HOU,104,90
76,2015-06-04,GSW,CLE,108,100
77,2015-06-07,GSW,CLE,93,95
78,2015-06-09,CLE,GSW,96,91
79,2015-06-11,CLE,GSW,82,103
80,2015-06-14,GSW,CLE,104,91
81,2015-06-16,CLE,GSW,97,105
