GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
932,2015-03-08,GSW,LAC,106,98,23,14,James Capers,Kevin Scott,Michael Smith
933,2015-03-08,LAL,DAL,93,100,21,22,Steve Anderson,Scott Foster,Eric Lewis
934,2015-03-08,OKC,TOR,108,104,25,9,Leroy Richardson,Derrick Stafford,Scott Twardoski
935,2015-03-08,ORL,BOS,103,98,30,16,Kevin Cutler,David Jones,Tom Washington
936,2015-03-08,SAS,CHI,116,105,24,29,Bill Kennedy,James Williams,Sean Wright
937,2015-03-09,ATL,SAC,130,105,7,20,Kevin Cutler,Ken Mauer,Gary Zielinski
938,2015-03-09,CHI,MEM,91,101,14,17,Mark Ayotte,Nick Buchert,Jason Phillips
939,2015-03-09,CHO,WAS,69,95,20,5,Bennie Adams,Bill Spooner,Leon Wood
940,2015-03-09,DEN,NYK,106,78,29,25,Marc Davis,Eli Roe,Scott Wall
941,2015-03-09,LAC,MIN,89,76,15,21,Dan Crawford,John Goble,Karl Lane
942,2015-03-09,MIA,BOS,90,100,34,17,David Guthrie,Marat Kogut,Bennett Salvatore
943,2015-03-09,MIL,NOP,103,114,31,21,Kane Fitzgerald,Derek Richardson,Zach Zarba
944,2015-03-09,PHO,GSW,80,98,23,19,Brent Barnaky,Brian Forte,Monty McCutchen
945,2015-03-10,BRK,NOP,91,111,23,11,David Jones,Bill Kennedy,J.T. Orr
946,2015-03-10,DAL,CLE,94,127,33,29,Jason Phillips,Leroy Richardson,Haywoode Workman
947,2015-03-10,IND,ORL,118,86,12,20,Derrick Collins,Ron Garretson,Scott Twardoski
948,2015-03-10,LAL,DET,93,85,30,19,James Capers,Kevin Scott,Michael Smith
949,2015-03-10,SAS,TOR,117,107,30,18,Ed Malloy,Ben Taylor,Josh Tiven
950,2015-03-10,UTA,NYK,87,82,29,17,Steve Anderson,Scott Foster,Eric Lewis
951,2015-03-11,BOS,MEM,95,92,17,13,Courtney Kirkland,Derek Richardson,Bill Spooner
952,2015-03-11,CHO,SAC,106,113,26,30,Derrick Collins,Scott Twardoski,Zach Zarba
953,2015-03-11,DEN,ATL,115,102,20,27,Brent Barnaky,Brian Forte,Monty McCutchen
954,2015-03-11,GSW,DET,105,98,13,12,Mark Ayotte,Dan Crawford,Karl Lane
955,2015-03-11,MIA,BRK,104,98,38,39,Sean Corbin,Kevin Cutler,Ken Mauer
956,2015-03-11,MIL,ORL,97,91,16,13,Bill Kennedy,Tre Maddox,Gary Zielinski
957,2015-03-11,OKC,LAC,108,120,36,47,Nick Buchert,Joe Crawford,David Guthrie
958,2015-03-11,PHI,CHI,95,104,25,20,Bennie Adams,Tony Brown,Leon Wood
959,2015-03-11,PHO,MIN,106,97,13,26,Curtis Blair,Marc Davis,Scott Wall
960,2015-03-11,POR,HOU,105,100,14,23,Tony Brothers,Eli Roe,Sean Wright
961,2015-03-12,IND,MIL,109,103,28,36,Pat Fraher,Marat Kogut,Bennett Salvatore
962,2015-03-12,LAL,NYK,94,101,21,26,Brian Forte,Monty McCutchen,Violet Palmer
963,2015-03-12,SAS,CLE,125,128,27,30,Eric Lewis,Derrick Stafford,Dedric Taylor
964,2015-03-12,UTA,HOU,109,91,17,24,James Capers,Kevin Scott,Michael Smith
965,2015-03-12,WAS,MEM,107,87,31,30,Kane Fitzgerald,J.T. Orr,Tom Washington
966,2015-03-13,BOS,ORL,95,88,20,28,Ken Mauer,Ben Taylor,Leon Wood
967,2015-03-13,CHO,CHI,101,91,33,19,Scott Foster,Courtney Kirkland,Haywoode Workman
968,2015-03-13,DAL,LAC,129,99,16,12,Derrick Collins,David Jones,Ed Malloy
969,2015-03-13,DEN,GSW,114,103,37,22,Curtis Blair,Tony Brothers,Sean Wright
970,2015-03-13,OKC,MIN,113,99,14,31,Mark Lindsay,Tre Maddox,Jason Phillips
971,2015-03-13,PHI,SAC,114,107,23,40,Lauren Holtkamp,Leroy Richardson,Bill Spooner
972,2015-03-13,PHO,ATL,87,96,21,12,Mark Ayotte,Dan Crawford,Karl Lane
973,2015-03-13,POR,DET,118,99,17,12,Bennie Adams,Brent Barnaky,Bill Kennedy
974,2015-03-13,TOR,MIA,102,92,31,24,John Goble,Derek Richardson,Tom Washington
975,2015-03-14,GSW,NYK,125,94,17,16,Ron Garretson,Justin Van Duyne,Gary Zielinski
976,2015-03-14,IND,BOS,89,93,15,21,Joe Crawford,Josh Tiven,James Williams
977,2015-03-14,MEM,MIL,96,83,16,27,Tony Brown,James Capers,Dedric Taylor
978,2015-03-14,PHI,BRK,87,94,14,26,Kane Fitzgerald,Derrick Stafford,Ben Taylor
979,2015-03-14,UTA,DET,88,85,24,22,Marc Davis,Eli Roe,Scott Wall
980,2015-03-14,WAS,SAC,113,97,17,28,Steve Anderson,David Guthrie,Bennett Salvatore
981,2015-03-15,LAC,HOU,98,100,24,36,Brent Barnaky,Brian Forte,Monty McCutchen
982,2015-03-15,LAL,ATL,86,91,15,27,Curtis Blair,Tony Brothers,Sean Wright
983,2015-03-15,NOP,DEN,111,118,21,20,Scott Foster,Tre Maddox,Michael Smith
984,2015-03-15,OKC,CHI,109,100,30,24,Dan Crawford,David Jones,Karl Lane
985,2015-03-15,ORL,CLE,108,123,27,19,Lauren Holtkamp,Mark Lindsay,Ed Malloy
986,2015-03-15,PHO,NYK,102,89,23,30,Eric Dalen,Pat Fraher,Zach Zarba
987,2015-03-15,SAS,MIN,123,97,15,18,Derek Richardson,Leroy Richardson,Tom Washington
988,2015-03-15,TOR,POR,97,113,23,16,Courtney Kirkland,Bill Spooner,Leon Wood
989,2015-03-16,BOS,PHI,108,89,15,24,Derrick Collins,David Guthrie,J.T. Orr
990,2015-03-16,DAL,OKC,119,115,35,35,James Capers,Eric Lewis,Kevin Scott
991,2015-03-16,GSW,LAL,108,105,23,21,Derrick Stafford,Josh Tiven,James Williams
992,2015-03-16,IND,TOR,98,117,25,33,Steve Anderson,Kane Fitzgerald,Jason Phillips
993,2015-03-16,MEM,DEN,92,81,28,21,Bennie Adams,Bill Kennedy,Haywoode Workman
994,2015-03-16,MIA,CLE,106,92,22,27,Joe Crawford,Leroy Richardson,Ben Taylor
995,2015-03-16,MIN,BRK,106,122,17,17,Ron Garretson,Courtney Kirkland,Dedric Taylor
996,2015-03-16,SAC,ATL,103,110,25,30,Marc Davis,Eli Roe,Scott Wall
997,2015-03-16,UTA,CHO,94,66,19,18,Sean Corbin,Marat Kogut,Ken Mauer
998,2015-03-16,WAS,POR,105,97,26,20,Tony Brown,Nick Buchert,John Goble
999,2015-03-17,DET,MEM,105,95,22,17,Steve Anderson,John Goble,Leon Wood
1000,2015-03-17,HOU,ORL,107,94,27,17,Scott Foster,David Jones,Tre Maddox
1001,2015-03-17,LAC,CHO,99,92,28,29,Eric Dalen,Pat Fraher,Zach Zarba
1002,2015-03-17,NOP,MIL,85,84,26,21,Eric Lewis,Scott Twardoski,Tom Washington
1003,2015-03-17,NYK,SAS,104,100,27,30,Derrick Collins,Lauren Holtkamp,Bennett Salvatore
1004,2015-03-18,CHI,IND,103,86,28,21,Brian Forte,Ron Garretson,Kevin Scott
1005,2015-03-18,CLE,BRK,117,92,20,21,Kevin Cutler,David Guthrie,Monty McCutchen
1006,2015-03-18,DAL,ORL,107,102,24,14,Mark Ayotte,Tony Brothers,Scott Twardoski
1007,2015-03-18,GSW,ATL,114,95,20,30,Sean Corbin,Marat Kogut,Ken Mauer
1008,2015-03-18,MIA,POR,108,104,14,21,Kane Fitzgerald,Ed Malloy,Justin Van Duyne
1009,2015-03-18,MIL,SAS,103,114,24,38,Dan Crawford,J.T. Orr,Sean Wright
