GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2016-04-16,ATL,BOS,102,101,35,19,James Capers,Derrick Collins,Rodney Mott
2,2016-04-16,GSW,HOU,104,78,24,24,Dan Crawford,Ron Garretson,Mark Lindsay
3,2016-04-16,OKC,DAL,108,70,28,26,Tony Brown,John Goble,Monty McCutchen
4,2016-04-16,TOR,IND,90,100,38,29,Tony Brothers,Scott Foster,Josh Tiven
5,2016-04-17,CLE,DET,106,101,21,16,Leroy Richardson,Derrick Stafford,Zach Zarba
6,2016-04-17,LAC,POR,115,95,39,26,Mike Callahan,Pat Fraher,Sean Wright
7,2016-04-17,MIA,CHO,123,91,21,37,Sean Corbin,Ed Malloy,Ken Mauer
8,2016-04-17,SAS,MEM,106,74,13,6,Marc Davis,Bill Kennedy,Eric Lewis
9,2016-04-18,GSW,HOU,115,106,38,33,James Capers,John Goble,Rodney Mott
10,2016-04-18,OKC,DAL,84,85,18,19,Dan Crawford,David Guthrie,Bill Spooner
11,2016-04-18,TOR,IND,98,87,25,30,Tony Brown,Monty McCutchen,Jason Phillips
12,2016-04-19,ATL,BOS,89,72,16,12,Tony Brothers,Scott Foster,Josh Tiven
13,2016-04-19,SAS,MEM,94,68,28,18,Mike Callahan,Tom Washington,James Williams
14,2016-04-20,CLE,DET,107,90,14,32,Kane Fitzgerald,Brian Forte,Ken Mauer
15,2016-04-20,LAC,POR,102,81,25,16,Bill Kennedy,Leroy Richardson,Derrick Stafford
16,2016-04-20,MIA,CHO,115,103,22,33,Marc Davis,Courtney Kirkland,Bill Spooner
17,2016-04-21,DAL,OKC,102,131,35,35,Mike Callahan,Pat Fraher,Sean Wright
18,2016-04-21,HOU,GSW,97,96,23,29,Mark Ayotte,Scott Foster,Tom Washington
19,2016-04-21,IND,TOR,85,101,33,16,Bennie Adams,James Capers,Rodney Mott
20,2016-04-22,BOS,ATL,111,103,33,21,Marc Davis,Eric Lewis,Zach Zarba
21,2016-04-22,DET,CLE,91,101,19,15,Monty McCutchen,Jason Phillips,Michael Smith
22,2016-04-22,MEM,SAS,87,96,19,19,Derrick Collins,Kane Fitzgerald,Derrick Stafford
23,2016-04-23,CHO,MIA,96,80,22,30,Mike Callahan,James Williams,Sean Wright
24,2016-04-23,DAL,OKC,108,119,17,34,Sean Corbin,Ed Malloy,Ken Mauer
25,2016-04-23,IND,TOR,100,83,18,30,Dan Crawford,Ron Garretson,Bill Spooner
26,2016-04-23,POR,LAC,96,88,23,23,Tony Brothers,Scott Foster,Tom Washington
27,2016-04-24,BOS,ATL,104,95,19,13,Bennie Adams,Monty McCutchen,Jason Phillips
28,2016-04-24,DET,CLE,98,100,21,17,Marc Davis,Bill Kennedy,Courtney Kirkland
29,2016-04-24,HOU,GSW,94,121,38,16,Kane Fitzgerald,Derrick Stafford,Zach Zarba
30,2016-04-24,MEM,SAS,95,116,27,31,James Capers,John Goble,David Guthrie
31,2016-04-25,CHO,MIA,89,85,30,21,Derrick Collins,Dan Crawford,Ron Garretson
32,2016-04-25,OKC,DAL,118,104,32,24,Scott Foster,Rodney Mott,Tom Washington
33,2016-04-25,POR,LAC,98,84,15,28,Brian Forte,Ed Malloy,Ken Mauer
34,2016-04-26,ATL,BOS,110,83,16,25,Mike Callahan,Pat Fraher,John Goble
35,2016-04-26,TOR,IND,102,99,35,23,Marc Davis,Bill Kennedy,Zach Zarba
36,2016-04-27,GSW,HOU,114,81,19,19,Brian Forte,Ed Malloy,Ken Mauer
37,2016-04-27,LAC,POR,98,108,30,34,Dan Crawford,Ron Garretson,Bill Spooner
38,2016-04-27,MIA,CHO,88,90,19,15,Kane Fitzgerald,Jason Phillips,Derrick Stafford
39,2016-04-28,BOS,ATL,92,104,18,27,Tony Brothers,Scott Foster,James Williams
40,2016-04-29,CHO,MIA,90,97,25,15,Monty McCutchen,Bill Spooner,Tom Washington
41,2016-04-29,IND,TOR,101,83,26,25,Mike Callahan,Kane Fitzgerald,John Goble
42,2016-04-29,POR,LAC,106,103,24,31,Marc Davis,Sean Wright,Zach Zarba
43,2016-04-30,SAS,OKC,124,92,18,21,Tony Brothers,Scott Foster,David Guthrie
44,2016-05-01,GSW,POR,118,106,24,21,James Capers,John Goble,Monty McCutchen
45,2016-05-01,MIA,CHO,106,73,16,12,Mike Callahan,Bill Kennedy,Ed Malloy
46,2016-05-01,TOR,IND,89,84,17,8,Dan Crawford,Ron Garretson,Bill Spooner
47,2016-05-02,CLE,ATL,104,93,21,21,Scott Foster,Eric Lewis,Zach Zarba
48,2016-05-02,SAS,OKC,97,98,13,21,Sean Corbin,Marc Davis,Ken Mauer
49,2016-05-03,GSW,POR,110,99,20,21,Dan Crawford,Courtney Kirkland,Derrick Stafford
50,2016-05-03,TOR,MIA,96,102,15,21,Monty McCutchen,Jason Phillips,Josh Tiven
51,2016-05-04,CLE,ATL,123,98,23,30,Mike Callahan,Kane Fitzgerald,Rodney Mott
52,2016-05-05,TOR,MIA,96,92,26,13,Derrick Collins,John Goble,Ken Mauer
53,2016-05-06,ATL,CLE,108,121,12,27,Tony Brothers,Dan Crawford,Ron Garretson
54,2016-05-06,OKC,SAS,96,100,20,34,Monty McCutchen,Derrick Stafford,James Williams
55,2016-05-07,MIA,TOR,91,95,24,28,James Capers,Kane Fitzgerald,Ed Malloy
56,2016-05-07,POR,GSW,120,108,29,17,Mike Callahan,Pat Fraher,Bill Kennedy
57,2016-05-08,ATL,CLE,99,100,14,13,Bennie Adams,Marc Davis,Jason Phillips
58,2016-05-08,OKC,SAS,111,97,29,16,Dan Crawford,Bill Spooner,Zach Zarba
59,2016-05-09,MIA,TOR,94,87,25,19,Mike Callahan,Brian Forte,Bill Kennedy
60,2016-05-09,POR,GSW,125,132,33,33,Scott Foster,Ed Malloy,Tom Washington
61,2016-05-10,SAS,OKC,91,95,17,26,John Goble,Monty McCutchen,Jason Phillips
62,2016-05-11,GSW,POR,125,121,29,39,Marc Davis,Ken Mauer,James Williams
63,2016-05-11,TOR,MIA,99,91,26,28,Tony Brothers,Scott Foster,Sean Wright
64,2016-05-12,OKC,SAS,113,99,31,16,Mike Callahan,Kane Fitzgerald,Bill Kennedy
65,2016-05-13,MIA,TOR,103,91,20,25,Sean Corbin,Marc Davis,Monty McCutchen
66,2016-05-15,TOR,MIA,116,89,43,23,James Capers,Dan Crawford,Zach Zarba
67,2016-05-16,GSW,OKC,102,108,17,32,Monty McCutchen,Derrick Stafford,Tom Washington
68,2016-05-17,CLE,TOR,115,84,33,20,Sean Corbin,Scott Foster,David Guthrie
69,2016-05-18,GSW,OKC,118,91,28,19,Mike Callahan,Kane Fitzgerald,Ed Malloy
70,2016-05-19,CLE,TOR,108,89,37,18,James Capers,Dan Crawford,Josh Tiven
71,2016-05-21,TOR,CLE,99,84,13,16,Marc Davis,Pat Fraher,Ken Mauer
72,2016-05-22,OKC,GSW,133,105,37,25,Tony Brothers,Scott Foster,Zach Zarba
73,2016-05-23,TOR,CLE,105,99,19,9,David Guthrie,Monty McCutchen,Derrick Stafford
74,2016-05-24,OKC,GSW,118,94,40,29,Dan Crawford,John Goble,Bill Kennedy
75,2016-05-25,CLE,TOR,116,78,24,35,Mike Callahan,Kane Fitzgerald,Ed Malloy
76,2016-05-26,GSW,OKC,120,111,34,24,James Capers,Marc Davis,Ken Mauer
77,2016-05-27,TOR,CLE,87,113,17,21,Dan Crawford,Bill Kennedy,Jason Phillips
78,2016-05-28,OKC,GSW,101,108,32,24,Ed Malloy,Monty McCutchen,Derrick Stafford
79,2016-05-30,GSW,OKC,96,88,8,17,Mike Callahan,Dan Crawford,Jason Phillips
