Date,Start (ET), ,Visitor/Neutral,PTS,Home/Neutral,PTS, ,Notes
April,April,April,April,April,April,April,April,April
"Sat, Apr 15, 2017",3:00 PM,Box Score,Indiana Pacers,108,Cleveland Cavaliers,109,,
"Sat, Apr 15, 2017",10:30 PM,Box Score,Utah Jazz,97,Los Angeles Clippers,95,,
"Sat, Apr 15, 2017",8:00 PM,Box Score,Memphis Grizzlies,82,San Antonio Spurs,111,,
"Sat, Apr 15, 2017",5:30 PM,Box Score,Milwaukee Bucks,97,Toronto Raptors,83,,
"Sun, Apr 16, 2017",6:30 PM,Box Score,Chicago Bulls,106,Boston Celtics,102,,
"Sun, Apr 16, 2017",3:30 PM,Box Score,Portland Trail Blazers,109,Golden State Warriors,121,,
"Sun, Apr 16, 2017",9:00 PM,Box Score,Oklahoma City Thunder,87,Houston Rockets,118,,
"Sun, Apr 16, 2017",1:00 PM,Box Score,Atlanta Hawks,107,Washington Wizards,114,,
"Mon, Apr 17, 2017",7:00 PM,Box Score,Indiana Pacers,111,Cleveland Cavaliers,117,,
"Mon, Apr 17, 2017",9:30 PM,Box Score,Memphis Grizzlies,82,San Antonio Spurs,96,,
"Tue, Apr 18, 2017",8:00 PM,Box Score,Chicago Bulls,111,Boston Celtics,97,,
"Tue, Apr 18, 2017",10:30 PM,Box Score,Utah Jazz,91,Los Angeles Clippers,99,,
"Tue, Apr 18, 2017",7:00 PM,Box Score,Milwaukee Bucks,100,Toronto Raptors,106,,
"Wed, Apr 19, 2017",10:30 PM,Box Score,Portland Trail Blazers,81,Golden State Warriors,110,,
"Wed, Apr 19, 2017",8:00 PM,Box Score,Oklahoma City Thunder,111,Houston Rockets,115,,
"Wed, Apr 19, 2017",7:00 PM,Box Score,Atlanta Hawks,101,Washington Wizards,109,,
"Thu, Apr 20, 2017",7:00 PM,Box Score,Cleveland Cavaliers,119,Indiana Pacers,114,,
"Thu, Apr 20, 2017",9:30 PM,Box Score,San Antonio Spurs,94,Memphis Grizzlies,105,,
"Thu, Apr 20, 2017",8:00 PM,Box Score,Toronto Raptors,77,Milwaukee Bucks,104,,
"Fri, Apr 21, 2017",7:00 PM,Box Score,Boston Celtics,104,Chicago Bulls,87,,
"Fri, Apr 21, 2017",9:30 PM,Box Score,Houston Rockets,113,Oklahoma City Thunder,115,,
"Fri, Apr 21, 2017",10:00 PM,Box Score,Los Angeles Clippers,111,Utah Jazz,106,,
"Sat, Apr 22, 2017",5:30 PM,Box Score,Washington Wizards,98,Atlanta Hawks,116,,
"Sat, Apr 22, 2017",8:00 PM,Box Score,San Antonio Spurs,108,Memphis Grizzlies,110,OT,
"Sat, Apr 22, 2017",3:00 PM,Box Score,Toronto Raptors,87,Milwaukee Bucks,76,,
"Sat, Apr 22, 2017",10:30 PM,Box Score,Golden State Warriors,119,Portland Trail Blazers,113,,
"Sun, Apr 23, 2017",6:30 PM,Box Score,Boston Celtics,104,Chicago Bulls,95,,
"Sun, Apr 23, 2017",1:00 PM,Box Score,Cleveland Cavaliers,106,Indiana Pacers,102,,
"Sun, Apr 23, 2017",3:30 PM,Box Score,Houston Rockets,113,Oklahoma City Thunder,109,,
"Sun, Apr 23, 2017",9:00 PM,Box Score,Los Angeles Clippers,98,Utah Jazz,105,,
"Mon, Apr 24, 2017",8:00 PM,Box Score,Washington Wizards,101,Atlanta Hawks,111,,
"Mon, Apr 24, 2017",10:30 PM,Box Score,Golden State Warriors,128,Portland Trail Blazers,103,,
"Mon, Apr 24, 2017",7:00 PM,Box Score,Milwaukee Bucks,93,Toronto Raptors,118,,
"Tue, Apr 25, 2017",8:00 PM,Box Score,Oklahoma City Thunder,99,Houston Rockets,105,,
"Tue, Apr 25, 2017",10:30 PM,Box Score,Utah Jazz,96,Los Angeles Clippers,92,,
"Tue, Apr 25, 2017",9:00 PM,Box Score,Memphis Grizzlies,103,San Antonio Spurs,116,,
"Wed, Apr 26, 2017",8:30 PM,Box Score,Chicago Bulls,97,Boston Celtics,108,,
"Wed, Apr 26, 2017",6:00 PM,Box Score,Atlanta Hawks,99,Washington Wizards,103,,
"Thu, Apr 27, 2017",9:30 PM,Box Score,San Antonio Spurs,103,Memphis Grizzlies,96,,
"Thu, Apr 27, 2017",7:00 PM,Box Score,Toronto Raptors,92,Milwaukee Bucks,89,,
"Fri, Apr 28, 2017",7:30 PM,Box Score,Washington Wizards,115,Atlanta Hawks,99,,
"Fri, Apr 28, 2017",8:00 PM,Box Score,Boston Celtics,105,Chicago Bulls,83,,
"Fri, Apr 28, 2017",10:30 PM,Box Score,Los Angeles Clippers,98,Utah Jazz,93,,
"Sun, Apr 30, 2017",1:00 PM,Box Score,Washington Wizards,111,Boston Celtics,123,,
"Sun, Apr 30, 2017",3:30 PM,Box Score,Utah Jazz,104,Los Angeles Clippers,91,,
May,May,May,May,May,May,May,May,May
"Mon, May 1, 2017",7:00 PM,Box Score,Toronto Raptors,105,Cleveland Cavaliers,116,,
"Mon, May 1, 2017",9:30 PM,Box Score,Houston Rockets,126,San Antonio Spurs,99,,
"Tue, May 2, 2017",8:00 PM,Box Score,Washington Wizards,119,Boston Celtics,129,OT,
"Tue, May 2, 2017",10:30 PM,Box Score,Utah Jazz,94,Golden State Warriors,106,,
"Wed, May 3, 2017",7:00 PM,Box Score,Toronto Raptors,103,Cleveland Cavaliers,125,,
"Wed, May 3, 2017",9:30 PM,Box Score,Houston Rockets,96,San Antonio Spurs,121,,
"Thu, May 4, 2017",10:30 PM,Box Score,Utah Jazz,104,Golden State Warriors,115,,
"Thu, May 4, 2017",8:00 PM,Box Score,Boston Celtics,89,Washington Wizards,116,,
"Fri, May 5, 2017",9:30 PM,Box Score,San Antonio Spurs,103,Houston Rockets,92,,
"Fri, May 5, 2017",7:00 PM,Box Score,Cleveland Cavaliers,115,Toronto Raptors,94,,
"Sat, May 6, 2017",8:30 PM,Box Score,Golden State Warriors,102,Utah Jazz,91,,
"Sun, May 7, 2017",9:00 PM,Box Score,San Antonio Spurs,104,Houston Rockets,125,,
"Sun, May 7, 2017",3:30 PM,Box Score,Cleveland Cavaliers,109,Toronto Raptors,102,,
"Sun, May 7, 2017",6:30 PM,Box Score,Boston Celtics,102,Washington Wizards,121,,
"Mon, May 8, 2017",9:00 PM,Box Score,Golden State Warriors,121,Utah Jazz,95,,
"Tue, May 9, 2017",8:00 PM,Box Score,Houston Rockets,107,San Antonio Spurs,110,OT,
"Wed, May 10, 2017",8:00 PM,Box Score,Washington Wizards,101,Boston Celtics,123,,
"Thu, May 11, 2017",8:00 PM,Box Score,San Antonio Spurs,114,Houston Rockets,75,,
"Fri, May 12, 2017",8:00 PM,Box Score,Boston Celtics,91,Washington Wizards,92,,
"Sun, May 14, 2017",3:30 PM,Box Score,San Antonio Spurs,111,Golden State Warriors,113,,
"Mon, May 15, 2017",8:00 PM,Box Score,Washington Wizards,105,Boston Celtics,115,,
"Tue, May 16, 2017",9:00 PM,Box Score,San Antonio Spurs,100,Golden State Warriors,136,,
"Wed, May 17, 2017",8:30 PM,Box Score,Cleveland Cavaliers,117,Boston Celtics,104,,
"Fri, May 19, 2017",8:30 PM,Box Score,Cleveland Cavaliers,130,Boston Celtics,86,,
"Sat, May 20, 2017",9:00 PM,Box Score,Golden State Warriors,120,San Antonio Spurs,108,,
"Sun, May 21, 2017",8:30 PM,Box Score,Boston Celtics,111,Cleveland Cavaliers,108,,
"Mon, May 22, 2017",9:00 PM,Box Score,Golden State Warriors,129,San Antonio Spurs,115,,
"Tue, May 23, 2017",8:30 PM,Box Score,Boston Celtics,99,Cleveland Cavaliers,112,,
"Thu, May 25, 2017",8:30 PM,Box Score,Cleveland Cavaliers,135,Boston Celtics,102,,
June,June,June,June,June,June,June,June,June
"Thu, Jun 1, 2017",9:00 PM,Box Score,Cleveland Cavaliers,91,Golden State Warriors,113,,
"Sun, Jun 4, 2017",8:00 PM,Box Score,Cleveland Cavaliers,113,Golden State Warriors,132,,
