GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
1,2016-10-25,CLE,NYK,117,88
2,2016-10-25,GSW,SAS,100,129
3,2016-10-25,POR,UTA,113,104
4,2016-10-26,BOS,BRK,122,117
5,2016-10-26,IND,DAL,130,121
6,2016-10-26,LAL,HOU,120,114
7,2016-10-26,MEM,MIN,102,98
8,2016-10-26,MIL,CHO,96,107
9,2016-10-26,NOP,DEN,102,107
10,2016-10-26,ORL,MIA,96,108
11,2016-10-26,PHI,OKC,97,103
12,2016-10-26,PHO,SAC,94,113
13,2016-10-26,TOR,DET,109,91
14,2016-10-27,ATL,WAS,114,99
15,2016-10-27,CHI,BOS,105,99
16,2016-10-27,POR,LAC,106,114
17,2016-10-27,SAC,SAS,94,102
18,2016-10-28,BRK,IND,103,94
19,2016-10-28,DAL,HOU,98,106
20,2016-10-28,DET,ORL,108,82
21,2016-10-28,MIA,CHO,91,97
22,2016-10-28,NOP,GSW,114,122
23,2016-10-28,OKC,PHO,113,110
24,2016-10-28,TOR,CLE,91,94
25,2016-10-28,UTA,LAL,96,89
26,2016-10-29,CHI,IND,118,101
27,2016-10-29,CHO,BOS,98,104
28,2016-10-29,CLE,ORL,105,99
29,2016-10-29,DEN,POR,113,115
30,2016-10-29,MIL,BRK,110,108
31,2016-10-29,NYK,MEM,111,104
32,2016-10-29,PHI,ATL,72,104
33,2016-10-29,SAC,MIN,106,103
34,2016-10-29,SAS,NOP,98,79
35,2016-10-30,DET,MIL,98,83
36,2016-10-30,HOU,DAL,93,92
37,2016-10-30,LAC,UTA,88,75
38,2016-10-30,MEM,WAS,112,103
39,2016-10-30,MIA,SAS,99,106
40,2016-10-30,OKC,LAL,113,96
41,2016-10-30,PHO,GSW,100,106
42,2016-10-31,ATL,SAC,106,95
43,2016-10-31,BRK,CHI,88,118
44,2016-10-31,LAC,PHO,116,98
45,2016-10-31,TOR,DEN,105,102
46,2016-11-01,CLE,HOU,128,120
47,2016-11-01,DET,NYK,102,89
48,2016-11-01,IND,LAL,115,108
49,2016-11-01,MIA,SAC,108,96
50,2016-11-01,MIN,MEM,116,80
51,2016-11-01,NOP,MIL,113,117
52,2016-11-01,PHI,ORL,101,103
53,2016-11-01,POR,GSW,104,127
54,2016-11-01,SAS,UTA,91,106
55,2016-11-02,ATL,LAL,116,123
56,2016-11-02,BOS,CHI,107,100
57,2016-11-02,BRK,DET,109,101
58,2016-11-02,CHO,PHI,109,93
59,2016-11-02,LAC,OKC,83,85
60,2016-11-02,MEM,NOP,89,83
61,2016-11-02,NYK,HOU,99,118
62,2016-11-02,PHO,POR,118,115
63,2016-11-02,UTA,DAL,97,81
64,2016-11-02,WAS,TOR,103,113
65,2016-11-03,CLE,BOS,128,122
66,2016-11-03,GSW,OKC,122,96
67,2016-11-03,MIL,IND,125,107
68,2016-11-03,MIN,DEN,99,102
69,2016-11-03,ORL,SAC,102,94
70,2016-11-04,BRK,CHO,95,99
71,2016-11-04,CHI,NYK,104,117
72,2016-11-04,DAL,POR,95,105
73,2016-11-04,LAL,GSW,117,97
74,2016-11-04,MEM,LAC,88,99
75,2016-11-04,NOP,PHO,111,112
76,2016-11-04,TOR,MIA,96,87
77,2016-11-04,UTA,SAS,86,100
78,2016-11-04,WAS,ATL,95,92
79,2016-11-05,ATL,HOU,112,97
80,2016-11-05,DET,DEN,103,86
81,2016-11-05,IND,CHI,111,94
82,2016-11-05,MIL,SAC,117,91
83,2016-11-05,OKC,MIN,112,92
84,2016-11-05,ORL,WAS,88,86
85,2016-11-05,PHI,CLE,101,102
86,2016-11-05,SAS,LAC,92,116
87,2016-11-06,BOS,DEN,107,123
88,2016-11-06,DAL,MIL,86,75
89,2016-11-06,LAL,PHO,119,108
90,2016-11-06,MEM,POR,94,100
91,2016-11-06,NYK,UTA,109,114
92,2016-11-06,TOR,SAC,91,96
93,2016-11-07,CHI,ORL,112,80
94,2016-11-07,CHO,IND,122,100
95,2016-11-07,GSW,NOP,116,106
96,2016-11-07,LAC,DET,114,82
97,2016-11-07,OKC,MIA,97,85
98,2016-11-07,PHI,UTA,84,109
99,2016-11-07,WAS,HOU,106,114
100,2016-11-08,BRK,MIN,119,110
101,2016-11-08,CLE,ATL,106,110
102,2016-11-08,LAL,DAL,97,109
103,2016-11-08,MEM,DEN,108,107
104,2016-11-08,POR,PHO,124,121
105,2016-11-08,SAC,NOP,102,94
106,2016-11-09,ATL,CHI,115,107
107,2016-11-09,CHO,UTA,104,98
108,2016-11-09,GSW,DAL,116,95
109,2016-11-09,IND,PHI,122,115
110,2016-11-09,LAC,POR,111,80
111,2016-11-09,NYK,BRK,110,96
112,2016-11-09,OKC,TOR,102,112
113,2016-11-09,ORL,MIN,107,123
114,2016-11-09,PHO,DET,107,100
115,2016-11-09,SAS,HOU,99,101
116,2016-11-09,WAS,BOS,118,93
117,2016-11-10,DEN,GSW,101,125
118,2016-11-10,MIA,CHI,95,98
119,2016-11-10,MIL,NOP,106,112
120,2016-11-10,SAC,LAL,91,101
121,2016-11-11,BOS,NYK,115,87
122,2016-11-11,CHO,TOR,111,113
123,2016-11-11,OKC,LAC,108,110
124,2016-11-11,ORL,UTA,74,87
125,2016-11-11,PHI,IND,109,105
126,2016-11-11,POR,SAC,122,120
127,2016-11-11,SAS,DET,96,86
128,2016-11-11,WAS,CLE,94,105
129,2016-11-12,ATL,PHI,117,96
130,2016-11-12,CHI,WAS,106,95
131,2016-11-12,DEN,DET,95,106
132,2016-11-12,HOU,SAS,100,106
133,2016-11-12,IND,BOS,99,105
134,2016-11-12,MIA,UTA,91,102
135,2016-11-12,MIL,MEM,106,96
136,2016-11-12,MIN,LAC,105,119
137,2016-11-12,NOP,LAL,99,126
138,2016-11-12,PHO,BRK,104,122
139,2016-11-12,TOR,NYK,118,107
140,2016-11-13,CLE,CHO,100,93
141,2016-11-13,GSW,PHO,133,120
142,2016-11-13,MIN,LAL,125,99
143,2016-11-13,OKC,ORL,117,119
144,2016-11-13,POR,DEN,112,105
145,2016-11-14,DET,OKC,104,88
146,2016-11-14,HOU,PHI,115,88
147,2016-11-14,IND,ORL,88,69
148,2016-11-14,LAC,BRK,127,95
149,2016-11-14,NOP,BOS,106,105
150,2016-11-14,NYK,DAL,93,77
151,2016-11-14,SAS,MIA,94,90
152,2016-11-14,UTA,MEM,96,102
153,2016-11-15,CLE,TOR,121,117
154,2016-11-15,LAL,BRK,125,118
155,2016-11-15,MIA,ATL,90,93
156,2016-11-15,MIN,CHO,108,115
157,2016-11-15,POR,CHI,88,113
158,2016-11-16,ATL,MIL,107,100
159,2016-11-16,BOS,DAL,90,83
160,2016-11-16,DEN,PHO,120,104
161,2016-11-16,IND,CLE,103,93
162,2016-11-16,LAC,MEM,107,111
163,2016-11-16,NYK,DET,105,102
164,2016-11-16,OKC,HOU,105,103
165,2016-11-16,ORL,NOP,89,82
166,2016-11-16,PHI,WAS,109,102
167,2016-11-16,SAC,SAS,105,110
168,2016-11-16,TOR,GSW,121,127
169,2016-11-17,HOU,POR,126,109
170,2016-11-17,MIA,MIL,96,73
171,2016-11-17,MIN,PHI,110,86
172,2016-11-17,UTA,CHI,77,85
173,2016-11-17,WAS,NYK,119,112
174,2016-11-18,BOS,GSW,88,104
175,2016-11-18,CHO,ATL,100,96
176,2016-11-18,CLE,DET,104,81
177,2016-11-18,DAL,MEM,64,80
178,2016-11-18,DEN,TOR,111,113
179,2016-11-18,IND,PHO,96,116
180,2016-11-18,LAL,SAS,107,116
181,2016-11-18,NOP,POR,113,101
182,2016-11-18,OKC,BRK,124,105
183,2016-11-18,SAC,LAC,115,121
184,2016-11-19,DET,BOS,92,94
185,2016-11-19,HOU,UTA,111,102
186,2016-11-19,LAC,CHI,102,95
187,2016-11-19,MEM,MIN,93,71
188,2016-11-19,MIL,GSW,121,124
189,2016-11-19,NOP,CHO,121,116
190,2016-11-19,ORL,DAL,95,87
191,2016-11-19,PHI,PHO,120,105
192,2016-11-19,WAS,MIA,111,114
193,2016-11-20,BRK,POR,109,129
194,2016-11-20,DEN,UTA,105,91
195,2016-11-20,LAL,CHI,110,118
196,2016-11-20,NYK,ATL,104,94
197,2016-11-20,OKC,IND,111,115
198,2016-11-20,SAC,TOR,102,99
199,2016-11-21,CHO,MEM,90,105
200,2016-11-21,DET,HOU,96,99
201,2016-11-21,IND,GSW,83,120
202,2016-11-21,LAC,TOR,123,115
203,2016-11-21,MIL,ORL,93,89
204,2016-11-21,MIN,BOS,93,99
205,2016-11-21,PHI,MIA,101,94
206,2016-11-21,SAS,DAL,96,91
207,2016-11-21,WAS,PHO,106,101
208,2016-11-22,ATL,NOP,94,112
209,2016-11-22,DEN,CHI,110,107
210,2016-11-22,LAL,OKC,111,109
211,2016-11-22,NYK,POR,107,103
212,2016-11-23,BRK,BOS,92,111
213,2016-11-23,CHO,SAS,114,119
214,2016-11-23,CLE,POR,137,125
215,2016-11-23,DAL,LAC,104,124
216,2016-11-23,DET,MIA,107,84
217,2016-11-23,GSW,LAL,149,106
218,2016-11-23,HOU,TOR,102,115
219,2016-11-23,IND,ATL,85,96
220,2016-11-23,NOP,MIN,117,96
221,2016-11-23,ORL,PHO,87,92
222,2016-11-23,PHI,MEM,99,104
223,2016-11-23,SAC,OKC,116,101
224,2016-11-23,UTA,DEN,108,83
225,2016-11-25,BOS,SAS,103,109
226,2016-11-25,CLE,DAL,128,90
227,2016-11-25,DEN,OKC,129,132
228,2016-11-25,DET,LAC,108,97
229,2016-11-25,IND,BRK,118,97
230,2016-11-25,LAL,GSW,85,109
231,2016-11-25,MEM,MIA,81,90
232,2016-11-25,MIL,TOR,99,105
233,2016-11-25,NYK,CHO,113,111
234,2016-11-25,ORL,WAS,91,94
235,2016-11-25,PHI,CHI,89,105
236,2016-11-25,PHO,MIN,85,98
237,2016-11-25,POR,NOP,119,104
238,2016-11-25,SAC,HOU,104,117
239,2016-11-25,UTA,ATL,95,68
240,2016-11-26,CHO,NYK,107,102
241,2016-11-26,GSW,MIN,115,102
242,2016-11-26,MIA,MEM,107,110
243,2016-11-26,OKC,DET,106,88
244,2016-11-26,WAS,SAS,100,112
245,2016-11-27,BRK,SAC,105,122
246,2016-11-27,DAL,NOP,91,81
247,2016-11-27,IND,LAC,91,70
248,2016-11-27,LAL,ATL,109,94
249,2016-11-27,ORL,MIL,96,104
250,2016-11-27,PHI,CLE,108,112
251,2016-11-27,PHO,DEN,114,120
252,2016-11-27,POR,HOU,114,130
253,2016-11-28,GSW,ATL,105,100
254,2016-11-28,MEM,CHO,85,104
255,2016-11-28,MIA,BOS,104,112
256,2016-11-28,MIN,UTA,103,112
257,2016-11-28,NYK,OKC,103,112
258,2016-11-28,TOR,PHI,122,95
259,2016-11-28,WAS,SAC,101,95
260,2016-11-29,BRK,LAC,127,122
261,2016-11-29,CHO,DET,89,112
262,2016-11-29,MIL,CLE,118,101
263,2016-11-29,NOP,LAL,105,88
264,2016-11-29,SAS,ORL,83,95
265,2016-11-29,UTA,HOU,120,101
266,2016-11-30,BOS,DET,114,121
267,2016-11-30,CHI,LAL,90,96
268,2016-11-30,DAL,SAS,87,94
269,2016-11-30,DEN,MIA,98,106
270,2016-11-30,MIN,NYK,104,106
271,2016-11-30,OKC,WAS,126,115
272,2016-11-30,PHO,ATL,109,107
273,2016-11-30,POR,IND,131,109
274,2016-11-30,TOR,MEM,120,105
275,2016-12-01,BRK,MIL,93,111
276,2016-12-01,CHO,DAL,97,87
277,2016-12-01,CLE,LAC,94,113
278,2016-12-01,GSW,HOU,127,132
279,2016-12-01,MEM,ORL,95,94
280,2016-12-01,UTA,MIA,110,111
281,2016-12-02,ATL,DET,85,121
282,2016-12-02,BOS,SAC,97,92
283,2016-12-02,CHI,CLE,111,105
284,2016-12-02,DEN,HOU,110,128
285,2016-12-02,NOP,LAC,96,114
286,2016-12-02,NYK,MIN,118,114
287,2016-12-02,PHI,ORL,88,105
288,2016-12-02,SAS,WAS,107,105
289,2016-12-02,TOR,LAL,113,80
290,2016-12-03,CHO,MIN,120,125
291,2016-12-03,DAL,CHI,107,82
292,2016-12-03,GSW,PHO,138,109
293,2016-12-03,MEM,LAL,103,100
294,2016-12-03,MIL,BRK,112,103
295,2016-12-03,PHI,BOS,106,107
296,2016-12-03,POR,MIA,99,92
297,2016-12-03,TOR,ATL,128,84
298,2016-12-03,UTA,DEN,105,98
299,2016-12-04,DET,ORL,92,98
300,2016-12-04,LAC,IND,102,111
301,2016-12-04,NYK,SAC,106,98
302,2016-12-04,OKC,NOP,101,92
303,2016-12-05,ATL,OKC,99,102
304,2016-12-05,BRK,WAS,113,118
305,2016-12-05,CHI,POR,110,112
306,2016-12-05,DAL,CHO,101,109
307,2016-12-05,GSW,IND,142,106
308,2016-12-05,HOU,BOS,107,106
309,2016-12-05,LAL,UTA,101,107
310,2016-12-05,MIL,SAS,96,97
311,2016-12-05,NOP,MEM,108,110
312,2016-12-05,PHI,DEN,98,106
313,2016-12-05,TOR,CLE,112,116
314,2016-12-06,DET,CHI,102,91
315,2016-12-06,MEM,PHI,96,91
316,2016-12-06,MIA,NYK,103,114
317,2016-12-06,MIN,SAS,91,105
318,2016-12-06,UTA,PHO,112,105
319,2016-12-06,WAS,ORL,116,124
320,2016-12-07,ATL,MIA,103,95
321,2016-12-07,BRK,DEN,116,111
322,2016-12-07,CHO,DET,87,77
323,2016-12-07,DAL,SAC,89,120
324,2016-12-07,HOU,LAL,134,95
325,2016-12-07,LAC,GSW,98,115
326,2016-12-07,MIL,POR,115,107
327,2016-12-07,NYK,CLE,94,126
328,2016-12-07,ORL,BOS,87,117
329,2016-12-07,PHO,IND,94,109
330,2016-12-08,CHI,SAS,95,91
331,2016-12-08,MEM,POR,88,86
332,2016-12-08,NOP,PHI,88,99
333,2016-12-08,TOR,MIN,124,110
334,2016-12-08,UTA,GSW,99,106
335,2016-12-08,WAS,DEN,92,85
336,2016-12-09,BOS,TOR,94,101
337,2016-12-09,CHO,ORL,109,88
338,2016-12-09,CLE,MIA,114,84
339,2016-12-09,DAL,IND,111,103
340,2016-12-09,LAL,PHO,115,119
341,2016-12-09,MIL,ATL,110,114
342,2016-12-09,MIN,DET,90,117
343,2016-12-09,OKC,HOU,99,102
344,2016-12-09,SAC,NYK,100,103
345,2016-12-10,CHI,MIA,105,100
346,2016-12-10,CLE,CHO,116,105
347,2016-12-10,HOU,DAL,109,87
348,2016-12-10,IND,POR,118,111
349,2016-12-10,LAC,NOP,133,105
350,2016-12-10,MEM,GSW,110,89
351,2016-12-10,ORL,DEN,113,121
352,2016-12-10,SAS,BRK,130,101
353,2016-12-10,UTA,SAC,104,84
354,2016-12-10,WAS,MIL,110,105
355,2016-12-11,DET,PHI,79,97
356,2016-12-11,LAL,NYK,112,118
357,2016-12-11,MIN,GSW,108,116
358,2016-12-11,OKC,BOS,99,96
359,2016-12-11,PHO,NOP,119,120
360,2016-12-12,DAL,DEN,112,92
361,2016-12-12,HOU,BRK,122,118
362,2016-12-12,IND,CHO,110,94
363,2016-12-12,LAC,POR,121,120
364,2016-12-12,MIA,WAS,112,101
365,2016-12-12,SAC,LAL,116,92
366,2016-12-12,TOR,MIL,122,100
367,2016-12-13,ATL,ORL,120,131
368,2016-12-13,CHI,MIN,94,99
369,2016-12-13,CLE,MEM,103,86
370,2016-12-13,NOP,GSW,109,113
371,2016-12-13,PHO,NYK,113,111
372,2016-12-13,POR,OKC,114,95
373,2016-12-14,BRK,LAL,107,97
374,2016-12-14,DAL,DET,85,95
375,2016-12-14,HOU,SAC,132,98
376,2016-12-14,MEM,CLE,93,85
377,2016-12-14,MIA,IND,95,89
378,2016-12-14,ORL,LAC,108,113
379,2016-12-14,PHI,TOR,114,123
380,2016-12-14,SAS,BOS,108,101
381,2016-12-14,UTA,OKC,109,89
382,2016-12-14,WAS,CHO,109,106
383,2016-12-15,DEN,POR,132,120
384,2016-12-15,GSW,NYK,103,90
385,2016-12-15,MIL,CHI,108,97
386,2016-12-15,NOP,IND,102,95
387,2016-12-15,PHO,SAS,92,107
388,2016-12-16,BOS,CHO,96,88
389,2016-12-16,CHI,MIL,69,95
390,2016-12-16,HOU,NOP,122,100
391,2016-12-16,MEM,SAC,92,96
392,2016-12-16,MIA,LAC,98,102
393,2016-12-16,ORL,BRK,118,111
394,2016-12-16,PHI,LAL,89,100
395,2016-12-16,TOR,ATL,121,125
396,2016-12-16,UTA,DAL,103,100
397,2016-12-16,WAS,DET,122,108
398,2016-12-17,ATL,CHO,99,107
399,2016-12-17,CLE,LAL,119,108
400,2016-12-17,DEN,NYK,127,114
401,2016-12-17,DET,IND,90,105
402,2016-12-17,GSW,POR,135,90
403,2016-12-17,MIN,HOU,109,111
404,2016-12-17,OKC,PHO,114,101
405,2016-12-18,DAL,SAC,99,79
406,2016-12-18,MEM,UTA,73,82
407,2016-12-18,MIA,BOS,95,105
408,2016-12-18,ORL,TOR,79,109
409,2016-12-18,PHI,BRK,108,107
410,2016-12-18,SAS,NOP,113,100
411,2016-12-18,WAS,LAC,117,110
412,2016-12-19,CHI,DET,113,82
413,2016-12-19,DEN,DAL,117,107
414,2016-12-19,IND,WAS,107,105
415,2016-12-19,MIN,PHO,115,108
416,2016-12-19,OKC,ATL,108,110
417,2016-12-20,CHO,LAL,117,113
418,2016-12-20,GSW,UTA,104,74
419,2016-12-20,HOU,SAS,100,102
420,2016-12-20,LAC,DEN,119,102
421,2016-12-20,MEM,BOS,109,112
422,2016-12-20,MIA,ORL,130,136
423,2016-12-20,MIL,CLE,108,114
424,2016-12-20,NYK,IND,118,111
425,2016-12-20,PHI,NOP,93,108
426,2016-12-20,SAC,POR,126,121
427,2016-12-20,TOR,BRK,116,104
428,2016-12-21,ATL,MIN,84,92
429,2016-12-21,CHI,WAS,97,107
430,2016-12-21,CLE,MIL,113,102
431,2016-12-21,DET,MEM,86,98
432,2016-12-21,NOP,OKC,110,121
433,2016-12-21,PHO,HOU,111,125
434,2016-12-21,POR,DAL,95,96
435,2016-12-21,UTA,SAC,93,94
436,2016-12-22,BRK,GSW,101,117
437,2016-12-22,IND,BOS,102,109
438,2016-12-22,LAC,SAS,106,101
439,2016-12-22,MIA,LAL,115,107
440,2016-12-22,NYK,ORL,106,95
441,2016-12-23,BOS,OKC,112,117
442,2016-12-23,CHO,CHI,103,91
443,2016-12-23,CLE,BRK,119,99
444,2016-12-23,DEN,ATL,108,109
445,2016-12-23,DET,GSW,113,119
446,2016-12-23,LAC,DAL,88,90
447,2016-12-23,MEM,HOU,115,109
448,2016-12-23,MIL,WAS,123,96
449,2016-12-23,MIN,SAC,105,109
450,2016-12-23,NOP,MIA,91,87
451,2016-12-23,ORL,LAL,109,90
452,2016-12-23,PHO,PHI,123,116
453,2016-12-23,POR,SAS,90,110
454,2016-12-23,UTA,TOR,98,104
455,2016-12-25,CLE,GSW,109,108
456,2016-12-25,LAL,LAC,111,102
457,2016-12-25,NYK,BOS,114,119
458,2016-12-25,OKC,MIN,112,100
459,2016-12-25,SAS,CHI,119,100
460,2016-12-26,BRK,CHO,120,118
461,2016-12-26,CHI,IND,90,85
462,2016-12-26,DET,CLE,106,90
463,2016-12-26,HOU,PHO,131,115
464,2016-12-26,LAC,DEN,102,106
465,2016-12-26,MIN,ATL,104,90
466,2016-12-26,NOP,DAL,111,104
467,2016-12-26,ORL,MEM,112,102
468,2016-12-26,POR,TOR,91,95
469,2016-12-26,SAC,PHI,102,100
470,2016-12-26,WAS,MIL,107,102
471,2016-12-27,BOS,MEM,113,103
472,2016-12-27,DAL,HOU,107,123
473,2016-12-27,LAL,UTA,100,102
474,2016-12-27,MIA,OKC,94,106
475,2016-12-28,ATL,NYK,102,98
476,2016-12-28,CHI,BRK,101,99
477,2016-12-28,DEN,MIN,105,103
478,2016-12-28,DET,MIL,94,119
479,2016-12-28,GSW,TOR,121,111
480,2016-12-28,NOP,LAC,102,98
481,2016-12-28,ORL,CHO,101,120
482,2016-12-28,POR,SAC,102,89
483,2016-12-28,SAS,PHO,119,98
484,2016-12-28,WAS,IND,111,105
485,2016-12-29,CHO,MIA,91,82
486,2016-12-29,CLE,BOS,124,118
487,2016-12-29,LAL,DAL,89,101
488,2016-12-29,MEM,OKC,114,80
489,2016-12-29,PHO,TOR,99,91
490,2016-12-29,UTA,PHI,100,83
491,2016-12-30,ATL,DET,105,98
492,2016-12-30,BOS,MIA,117,114
493,2016-12-30,DEN,PHI,122,124
494,2016-12-30,GSW,DAL,108,99
495,2016-12-30,HOU,LAC,140,116
496,2016-12-30,IND,CHI,111,101
497,2016-12-30,MIN,MIL,116,99
498,2016-12-30,NOP,NYK,104,92
499,2016-12-30,SAS,POR,110,94
500,2016-12-30,WAS,BRK,118,95
501,2016-12-31,CHI,MIL,96,116
502,2016-12-31,CHO,CLE,109,121
503,2016-12-31,HOU,NYK,129,122
504,2016-12-31,OKC,LAC,114,88
505,2016-12-31,SAC,MEM,98,112
506,2016-12-31,UTA,PHO,91,86
