GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
614,2017-01-16,GSW,CLE,126,91
615,2017-01-16,IND,NOP,98,95
616,2017-01-16,LAC,OKC,120,98
617,2017-01-16,MIL,PHI,104,113
618,2017-01-16,NYK,ATL,107,108
619,2017-01-16,PHO,UTA,101,106
620,2017-01-16,WAS,POR,120,101
621,2017-01-17,BRK,TOR,109,119
622,2017-01-17,CHI,DAL,98,99
623,2017-01-17,LAL,DEN,121,127
624,2017-01-17,MIA,HOU,109,103
625,2017-01-17,SAS,MIN,122,114
626,2017-01-18,BOS,NYK,106,117
627,2017-01-18,CHO,POR,107,85
628,2017-01-18,DET,ATL,118,95
629,2017-01-18,GSW,OKC,121,100
630,2017-01-18,HOU,MIL,111,92
631,2017-01-18,NOP,ORL,118,98
632,2017-01-18,PHI,TOR,94,89
633,2017-01-18,SAC,IND,100,106
634,2017-01-18,WAS,MEM,104,101
635,2017-01-19,CLE,PHO,118,103
636,2017-01-19,LAC,MIN,101,104
637,2017-01-19,MIA,DAL,99,95
638,2017-01-19,NYK,WAS,110,113
639,2017-01-19,SAS,DEN,118,104
640,2017-01-20,ATL,CHI,102,93
641,2017-01-20,CHO,TOR,113,78
642,2017-01-20,DAL,UTA,107,112
643,2017-01-20,HOU,GSW,108,125
644,2017-01-20,LAL,IND,108,95
645,2017-01-20,MEM,SAC,107,91
646,2017-01-20,NOP,BRK,114,143
647,2017-01-20,ORL,MIL,112,96
648,2017-01-20,PHI,POR,93,92
649,2017-01-21,ATL,PHI,110,93
650,2017-01-21,BOS,POR,123,127
651,2017-01-21,CHI,SAC,102,99
652,2017-01-21,CHO,BRK,112,105
653,2017-01-21,CLE,SAS,115,118
654,2017-01-21,DEN,LAC,123,98
655,2017-01-21,DET,WAS,113,112
656,2017-01-21,MEM,HOU,95,119
657,2017-01-21,MIA,MIL,109,97
658,2017-01-21,NYK,PHO,105,107
659,2017-01-21,UTA,IND,109,100
660,2017-01-22,DAL,LAL,122,73
661,2017-01-22,MIN,DEN,111,108
662,2017-01-22,ORL,GSW,98,118
663,2017-01-22,TOR,PHO,103,115
664,2017-01-23,ATL,LAC,105,115
665,2017-01-23,BRK,SAS,86,112
666,2017-01-23,CHO,WAS,99,109
667,2017-01-23,DET,SAC,104,109
668,2017-01-23,IND,NYK,103,109
669,2017-01-23,MIA,GSW,105,102
670,2017-01-23,MIL,HOU,127,114
671,2017-01-23,NOP,CLE,124,122
672,2017-01-23,UTA,OKC,95,97
673,2017-01-24,DEN,UTA,103,93
674,2017-01-24,ORL,CHI,92,100
675,2017-01-24,PHI,LAC,121,110
676,2017-01-24,PHO,MIN,111,112
677,2017-01-24,TOR,SAS,106,108
678,2017-01-24,WAS,BOS,123,108
679,2017-01-25,BOS,HOU,120,109
680,2017-01-25,BRK,MIA,106,109
681,2017-01-25,CHI,ATL,114,119
682,2017-01-25,CHO,GSW,103,113
683,2017-01-25,CLE,SAC,112,116
684,2017-01-25,DAL,NYK,103,95
685,2017-01-25,MEM,TOR,101,99
686,2017-01-25,MIL,PHI,109,114
687,2017-01-25,NOP,OKC,105,114
688,2017-01-25,POR,LAL,105,98
689,2017-01-26,DEN,PHO,127,120
690,2017-01-26,MIN,IND,103,109
691,2017-01-26,OKC,DAL,109,98
692,2017-01-26,UTA,LAL,96,88
693,2017-01-27,ATL,WAS,86,112
694,2017-01-27,BOS,ORL,128,98
695,2017-01-27,CHI,MIA,88,100
696,2017-01-27,CLE,BRK,124,116
697,2017-01-27,IND,SAC,115,111
698,2017-01-27,NOP,SAS,119,103
699,2017-01-27,NYK,CHO,110,107
700,2017-01-27,PHI,HOU,118,123
701,2017-01-27,POR,MEM,112,109
702,2017-01-27,TOR,MIL,102,86
703,2017-01-28,CHO,SAC,106,109
704,2017-01-28,GSW,LAC,144,98
705,2017-01-28,MIA,DET,116,103
706,2017-01-28,MIL,BOS,108,112
707,2017-01-28,MIN,BRK,129,109
708,2017-01-28,PHO,DEN,112,123
709,2017-01-28,UTA,MEM,95,102
710,2017-01-29,ATL,NYK,142,139
711,2017-01-29,CHI,PHI,121,108
712,2017-01-29,CLE,OKC,107,91
713,2017-01-29,IND,HOU,120,101
714,2017-01-29,NOP,WAS,94,107
715,2017-01-29,POR,GSW,111,113
716,2017-01-29,SAS,DAL,101,105
717,2017-01-29,TOR,ORL,113,114
718,2017-01-30,BOS,DET,113,109
719,2017-01-30,DAL,CLE,104,97
720,2017-01-30,MIA,BRK,104,96
721,2017-01-30,MIN,ORL,111,105
722,2017-01-30,PHI,SAC,122,119
723,2017-01-30,PHO,MEM,96,115
724,2017-01-31,HOU,SAC,105,83
725,2017-01-31,LAL,DEN,120,116
726,2017-01-31,POR,CHO,115,98
727,2017-01-31,SAS,OKC,108,94
728,2017-01-31,TOR,NOP,108,106
729,2017-01-31,WAS,NYK,117,101
730,2017-02-01,BOS,TOR,109,104
731,2017-02-01,BRK,NYK,90,95
732,2017-02-01,CLE,MIN,125,97
733,2017-02-01,DAL,PHI,113,95
734,2017-02-01,DEN,MEM,99,119
735,2017-02-01,DET,NOP,118,98
736,2017-02-01,GSW,CHO,126,111
737,2017-02-01,MIA,ATL,116,93
738,2017-02-01,OKC,CHI,100,128
739,2017-02-01,ORL,IND,88,98
740,2017-02-01,PHO,LAC,114,124
741,2017-02-01,UTA,MIL,104,88
742,2017-02-02,HOU,ATL,108,113
743,2017-02-02,LAC,GSW,120,133
744,2017-02-02,SAS,PHI,102,86
745,2017-02-02,WAS,LAL,116,108
746,2017-02-03,BOS,LAL,113,107
747,2017-02-03,BRK,IND,97,106
748,2017-02-03,DEN,MIL,121,117
749,2017-02-03,DET,MIN,116,108
750,2017-02-03,HOU,CHI,121,117
751,2017-02-03,OKC,MEM,114,102
752,2017-02-03,ORL,TOR,102,94
753,2017-02-03,POR,DAL,104,108
754,2017-02-03,SAC,PHO,103,105
755,2017-02-04,ATL,ORL,113,86
756,2017-02-04,IND,DET,105,84
757,2017-02-04,MIA,PHI,125,102
758,2017-02-04,MIN,MEM,99,107
759,2017-02-04,NYK,CLE,104,111
760,2017-02-04,PHO,MIL,112,137
761,2017-02-04,SAC,GSW,109,106
762,2017-02-04,SAS,DEN,121,97
763,2017-02-04,UTA,CHO,105,98
764,2017-02-04,WAS,NOP,105,91
765,2017-02-05,BOS,LAC,107,102
766,2017-02-05,BRK,TOR,95,103
767,2017-02-05,OKC,POR,105,99
768,2017-02-06,ATL,UTA,95,120
769,2017-02-06,DEN,DAL,110,87
770,2017-02-06,DET,PHI,113,96
771,2017-02-06,IND,OKC,93,90
772,2017-02-06,MEM,SAS,89,74
773,2017-02-06,MIN,MIA,113,115
774,2017-02-06,NOP,PHO,111,106
775,2017-02-06,NYK,LAL,107,121
776,2017-02-06,SAC,CHI,107,112
777,2017-02-06,TOR,LAC,118,109
778,2017-02-06,WAS,CLE,135,140
779,2017-02-07,CHO,BRK,111,107
780,2017-02-07,DAL,POR,113,114
781,2017-02-07,HOU,ORL,128,104
782,2017-02-08,ATL,DEN,117,106
783,2017-02-08,BRK,WAS,110,114
784,2017-02-08,DET,LAL,121,102
785,2017-02-08,GSW,CHI,123,92
786,2017-02-08,IND,CLE,117,132
787,2017-02-08,MEM,PHO,110,91
788,2017-02-08,MIL,MIA,88,106
789,2017-02-08,MIN,TOR,112,109
790,2017-02-08,NOP,UTA,94,127
791,2017-02-08,NYK,LAC,115,119
792,2017-02-08,PHI,SAS,103,111
793,2017-02-08,SAC,BOS,108,92
794,2017-02-09,CHO,HOU,95,107
795,2017-02-09,DAL,UTA,112,105
796,2017-02-09,OKC,CLE,118,109
797,2017-02-09,ORL,PHI,111,112
798,2017-02-09,POR,BOS,111,120
799,2017-02-10,BRK,MIA,99,108
800,2017-02-10,DET,SAS,92,103
801,2017-02-10,MEM,GSW,107,122
802,2017-02-10,MIL,LAL,114,122
803,2017-02-10,MIN,NOP,106,122
804,2017-02-10,NYK,DEN,123,131
805,2017-02-10,PHO,CHI,115,97
806,2017-02-10,SAC,ATL,108,107
807,2017-02-10,WAS,IND,112,107
808,2017-02-11,CHO,LAC,102,107
809,2017-02-11,CLE,DEN,125,109
810,2017-02-11,DAL,ORL,112,80
811,2017-02-11,HOU,PHO,133,102
812,2017-02-11,IND,MIL,100,116
813,2017-02-11,OKC,GSW,114,130
814,2017-02-11,PHI,MIA,117,109
815,2017-02-11,UTA,BOS,104,112
816,2017-02-12,MIN,CHI,117,89
817,2017-02-12,NYK,SAS,94,90
818,2017-02-12,SAC,NOP,105,99
819,2017-02-12,TOR,DET,101,102
820,2017-02-13,BRK,MEM,103,112
821,2017-02-13,CHO,PHI,99,105
822,2017-02-13,DAL,BOS,98,111
823,2017-02-13,DEN,GSW,132,110
824,2017-02-13,IND,SAS,106,110
825,2017-02-13,MIA,ORL,107,116
826,2017-02-13,MIL,DET,102,89
827,2017-02-13,PHO,NOP,108,110
828,2017-02-13,POR,ATL,104,109
829,2017-02-13,UTA,LAC,72,88
830,2017-02-13,WAS,OKC,120,98
831,2017-02-14,CHI,TOR,105,94
832,2017-02-14,LAL,SAC,96,97
833,2017-02-14,MIN,CLE,108,116
834,2017-02-15,BOS,PHI,116,108
835,2017-02-15,BRK,MIL,125,129
836,2017-02-15,CLE,IND,113,104
837,2017-02-15,DEN,MIN,99,112
838,2017-02-15,DET,DAL,98,91
839,2017-02-15,GSW,SAC,109,86
840,2017-02-15,HOU,MIA,109,117
841,2017-02-15,LAC,ATL,99,84
842,2017-02-15,MEM,NOP,91,95
843,2017-02-15,OKC,NYK,116,105
844,2017-02-15,ORL,SAS,79,107
845,2017-02-15,PHO,LAL,137,101
846,2017-02-15,TOR,CHO,90,85
847,2017-02-15,UTA,POR,111,88
848,2017-02-16,CHI,BOS,104,103
849,2017-02-16,IND,WAS,98,111
850,2017-02-23,CLE,NYK,119,104
851,2017-02-23,DET,CHO,114,108
852,2017-02-23,GSW,LAC,123,113
853,2017-02-23,NOP,HOU,99,129
854,2017-02-23,ORL,POR,103,112
855,2017-02-23,SAC,DEN,116,100
856,2017-02-24,ATL,MIA,90,108
857,2017-02-24,CHI,PHO,128,121
858,2017-02-24,DEN,BRK,129,109
859,2017-02-24,IND,MEM,102,92
860,2017-02-24,LAC,SAS,97,105
861,2017-02-24,MIL,UTA,95,109
862,2017-02-24,MIN,DAL,97,84
863,2017-02-24,OKC,LAL,110,93
864,2017-02-24,PHI,WAS,120,112
865,2017-02-24,TOR,BOS,107,97
866,2017-02-25,CLE,CHI,99,117
867,2017-02-25,DAL,NOP,96,83
868,2017-02-25,GSW,BRK,112,95
869,2017-02-25,HOU,MIN,142,130
870,2017-02-25,MIA,IND,113,95
871,2017-02-25,NYK,PHI,110,109
872,2017-02-25,ORL,ATL,105,86
873,2017-02-25,SAC,CHO,85,99
874,2017-02-26,DEN,MEM,98,105
875,2017-02-26,DET,BOS,98,104
876,2017-02-26,LAC,CHO,124,121
877,2017-02-26,LAL,SAS,98,119
878,2017-02-26,MIL,PHO,100,96
879,2017-02-26,OKC,NOP,118,110
880,2017-02-26,TOR,POR,112,106
881,2017-02-26,WAS,UTA,92,102
882,2017-02-27,BOS,ATL,98,114
883,2017-02-27,CLE,MIL,102,95
884,2017-02-27,DAL,MIA,96,89
885,2017-02-27,HOU,IND,108,117
886,2017-02-27,NYK,TOR,91,92
887,2017-02-27,PHI,GSW,108,119
888,2017-02-27,SAC,MIN,88,102
889,2017-02-28,CHI,DEN,107,125
890,2017-02-28,DET,POR,120,113
891,2017-02-28,LAL,CHO,104,109
