GameID,Date,Hometeam,Awayteam,Homescore,Awayscore,HFTA,AFTA,Ref,Ref,Ref
1,2016-10-25,CLE,NYK,117,88,19,20,Bennie Adams,Bill Kennedy,Karl Lane
2,2016-10-25,GSW,SAS,100,129,18,26,Dan Crawford,Pat Fraher,Tre Maddox
3,2016-10-25,POR,UTA,113,104,22,16,Tony Brown,Nick Buchert,Mike Callahan
4,2016-10-26,BOS,BRK,122,117,18,20,Marc Davis,Brian Forte,J.T. Orr
5,2016-10-26,IND,DAL,130,121,34,18,Tyler Ford,Bill Kennedy,Josh Tiven
6,2016-10-26,LAL,HOU,120,114,22,27,Kevin Cutler,John Goble,Gary Zielinski
7,2016-10-26,MEM,MIN,102,98,27,29,Kane Fitzgerald,Derrick Stafford,Dedric Taylor
8,2016-10-26,MIL,CHO,96,107,20,24,Ken Mauer,Leroy Richardson,C.J. Washington
9,2016-10-26,NOP,DEN,102,107,26,33,Brent Barnaky,Derek Richardson,Sean Wright
10,2016-10-26,ORL,MIA,96,108,28,16,Sean Corbin,Justin Van Duyne,Tom Washington
11,2016-10-26,PHI,OKC,97,103,25,26,Rodney Mott,Jason Phillips,Leon Wood
12,2016-10-26,PHO,SAC,94,113,27,26,David Guthrie,Tre Maddox,Bill Spooner
13,2016-10-26,TOR,DET,109,91,29,22,Mark Ayotte,James Capers,Derrick Collins
14,2016-10-27,ATL,WAS,114,99,18,18,Bennie Adams,Monty McCutchen,Aaron Smith
15,2016-10-27,CHI,BOS,105,99,30,24,Eric Dalen,Courtney Kirkland,Jason Phillips
16,2016-10-27,POR,LAC,106,114,32,46,Tony Brothers,John Goble,Lauren Holtkamp
17,2016-10-27,SAC,SAS,94,102,38,27,Tony Brown,Nick Buchert,Mike Callahan
18,2016-10-28,BRK,IND,103,94,20,20,Mark Ayotte,Scott Foster,Leon Wood
19,2016-10-28,DAL,HOU,98,106,24,31,Eric Lewis,Ed Malloy,Ben Taylor
20,2016-10-28,DET,ORL,108,82,6,12,Curtis Blair,Bill Kennedy,James Williams
21,2016-10-28,MIA,CHO,91,97,20,24,Matt Boland,Rodney Mott,Derek Richardson
22,2016-10-28,NOP,GSW,114,122,23,28,Marat Kogut,Scott Wall,Tom Washington
23,2016-10-28,OKC,PHO,113,110,38,32,Leroy Richardson,Justin Van Duyne,Zach Zarba
24,2016-10-28,TOR,CLE,91,94,18,22,Ken Mauer,Michael Smith,Josh Tiven
25,2016-10-28,UTA,LAL,96,89,40,21,Pat Fraher,Gediminas Petraitis,Bill Spooner
26,2016-10-29,CHI,IND,118,101,21,9,Curtis Blair,Mark Lindsay,Zach Zarba
27,2016-10-29,CHO,BOS,98,104,33,17,Mark Ayotte,Monty McCutchen,Aaron Smith
28,2016-10-29,CLE,ORL,105,99,30,26,Dan Crawford,Brian Forte,C.J. Washington
29,2016-10-29,DEN,POR,113,115,39,21,Bennie Adams,Pat Fraher,Tre Maddox
30,2016-10-29,MIL,BRK,110,108,24,28,Mike Callahan,Brett Nansel,James Williams
31,2016-10-29,NYK,MEM,111,104,39,26,Steve Anderson,James Capers,Gary Zielinski
32,2016-10-29,PHI,ATL,72,104,15,23,Kevin Cutler,Courtney Kirkland,Derrick Stafford
33,2016-10-29,SAC,MIN,106,103,25,31,Tony Brothers,Ron Garretson,Lauren Holtkamp
34,2016-10-29,SAS,NOP,98,79,23,15,Derrick Collins,John Goble,Justin Van Duyne
35,2016-10-30,DET,MIL,98,83,20,14,Sean Corbin,J.T. Orr,Jason Phillips
36,2016-10-30,HOU,DAL,93,92,21,20,Matt Boland,Ken Mauer,Derek Richardson
37,2016-10-30,LAC,UTA,88,75,20,13,Brent Barnaky,Marc Davis,Scott Twardoski
38,2016-10-30,MEM,WAS,112,103,26,25,Rodney Mott,Scott Wall,Haywoode Workman
39,2016-10-30,MIA,SAS,99,106,26,26,Kevin Cutler,Leroy Richardson,Sean Wright
40,2016-10-30,OKC,LAL,113,96,17,24,Scott Foster,Marat Kogut,Michael Smith
41,2016-10-30,PHO,GSW,100,106,25,33,Nick Buchert,Ed Malloy,Gediminas Petraitis
42,2016-10-31,ATL,SAC,106,95,47,19,Mark Ayotte,Karl Lane,Rodney Mott
43,2016-10-31,BRK,CHI,88,118,21,18,Eric Lewis,Kevin Scott,Derrick Stafford
44,2016-10-31,LAC,PHO,116,98,38,31,Ron Garretson,Mark Lindsay,Dedric Taylor
45,2016-10-31,TOR,DEN,105,102,25,35,Monty McCutchen,Aaron Smith,Gary Zielinski
46,2016-11-01,CLE,HOU,128,120,31,25,Kevin Cutler,Courtney Kirkland,Sean Wright
47,2016-11-01,DET,NYK,102,89,21,15,John Goble,Ed Malloy,Brett Nansel
48,2016-11-01,IND,LAL,115,108,29,25,Derrick Collins,Dan Crawford,Jacyn Goble
49,2016-11-01,MIA,SAC,108,96,29,27,J.T. Orr,Josh Tiven,James Williams
50,2016-11-01,MIN,MEM,116,80,23,29,Mitchell Ervin,Leroy Richardson,Kevin Scott
51,2016-11-01,NOP,MIL,113,117,41,21,Tyler Ford,Brian Forte,Scott Foster
52,2016-11-01,PHI,ORL,101,103,16,17,Sean Corbin,Kane Fitzgerald,Haywoode Workman
53,2016-11-01,POR,GSW,104,127,21,23,Bill Kennedy,Mark Lindsay,Dedric Taylor
54,2016-11-01,SAS,UTA,91,106,21,18,James Capers,Michael Smith,Leon Wood
55,2016-11-02,ATL,LAL,116,123,29,20,John Goble,J.T. Orr,Jason Phillips
56,2016-11-02,BOS,CHI,107,100,17,31,Marat Kogut,Ken Mauer,Gary Zielinski
57,2016-11-02,BRK,DET,109,101,17,21,Derrick Collins,Monty McCutchen,Gediminas Petraitis
58,2016-11-02,CHO,PHI,109,93,26,15,Pat Fraher,Eric Lewis,Ben Taylor
59,2016-11-02,LAC,OKC,83,85,18,20,Tre Maddox,Rodney Mott,Tom Washington
60,2016-11-02,MEM,NOP,89,83,20,16,Ron Garretson,Karl Lane,Josh Tiven
61,2016-11-02,NYK,HOU,99,118,25,27,Tony Brothers,Nick Buchert,Aaron Smith
62,2016-11-02,PHO,POR,118,115,30,21,Brent Barnaky,Marc Davis,Scott Twardoski
63,2016-11-02,UTA,DAL,97,81,26,10,Bennie Adams,Eric Dalen,Zach Zarba
64,2016-11-02,WAS,TOR,103,113,24,25,Matt Boland,Lauren Holtkamp,Derrick Stafford
65,2016-11-03,CLE,BOS,128,122,37,22,Curtis Blair,Matt Boland,Ed Malloy
66,2016-11-03,GSW,OKC,122,96,20,28,Brent Barnaky,Marc Davis,Brian Forte
67,2016-11-03,MIL,IND,125,107,24,27,Kevin Cutler,Kane Fitzgerald,Bill Spooner
68,2016-11-03,MIN,DEN,99,102,25,25,Mike Callahan,Mark Lindsay,Brett Nansel
69,2016-11-03,ORL,SAC,102,94,23,17,James Capers,Tyler Ford,Courtney Kirkland
70,2016-11-04,BRK,CHO,95,99,21,24,Tony Brown,Jason Phillips,Scott Wall
71,2016-11-04,CHI,NYK,104,117,27,21,Mark Ayotte,Dan Crawford,Pat Fraher
72,2016-11-04,DAL,POR,95,105,20,26,Derrick Collins,Karl Lane,Sean Wright
73,2016-11-04,LAL,GSW,117,97,21,20,Bennie Adams,Tom Washington,Leon Wood
74,2016-11-04,MEM,LAC,88,99,22,33,Nick Buchert,C.J. Washington,Zach Zarba
75,2016-11-04,NOP,PHO,111,112,28,28,Mitchell Ervin,Derrick Stafford,James Williams
76,2016-11-04,TOR,MIA,96,87,18,15,Curtis Blair,Bill Kennedy,Eric Lewis
77,2016-11-04,UTA,SAS,86,100,24,22,Sean Corbin,Brian Forte,Mark Lindsay
78,2016-11-04,WAS,ATL,95,92,35,36,Scott Foster,Marat Kogut,Gary Zielinski
79,2016-11-05,ATL,HOU,112,97,24,13,Jason Goldenberg,Leroy Richardson,Bill Spooner
80,2016-11-05,DET,DEN,103,86,22,20,James Capers,Kane Fitzgerald,Vladimir Voyard-Tadal
81,2016-11-05,IND,CHI,111,94,12,25,Eric Dalen,Jason Phillips,Aaron Smith
82,2016-11-05,MIL,SAC,117,91,25,19,Monty McCutchen,Phenizee Ransom,Michael Smith
83,2016-11-05,OKC,MIN,112,92,24,29,Courtney Kirkland,Gediminas Petraitis,Josh Tiven
84,2016-11-05,ORL,WAS,88,86,27,17,John Goble,Tre Maddox,Ken Mauer
85,2016-11-05,PHI,CLE,101,102,12,18,Mike Callahan,Brett Nansel,Gary Zielinski
86,2016-11-05,SAS,LAC,92,116,25,14,Karl Lane,Ed Malloy,James Williams
87,2016-11-06,BOS,DEN,107,123,21,31,Bill Kennedy,Eric Lewis,Scott Twardoski
88,2016-11-06,DAL,MIL,86,75,12,12,Nick Buchert,Justin Van Duyne,Tom Washington
89,2016-11-06,LAL,PHO,119,108,35,28,Sean Corbin,Ron Garretson,Ben Taylor
90,2016-11-06,MEM,POR,94,100,32,27,Mark Ayotte,Tony Brown,Pat Fraher
91,2016-11-06,NYK,UTA,109,114,19,35,Curtis Blair,Matt Boland,Scott Foster
92,2016-11-06,TOR,SAC,91,96,31,31,Kevin Scott,Scott Wall,Sean Wright
93,2016-11-07,CHI,ORL,112,80,31,6,Tony Brothers,James Williams,Leon Wood
94,2016-11-07,CHO,IND,122,100,32,15,Mike Callahan,Mark Lindsay,Tre Maddox
95,2016-11-07,GSW,NOP,116,106,12,27,J.T. Orr,Jason Phillips,Leroy Richardson
96,2016-11-07,LAC,DET,114,82,22,26,Steve Anderson,Ken Mauer,Josh Tiven
97,2016-11-07,OKC,MIA,97,85,17,22,Eric Dalen,John Goble,Derrick Stafford
98,2016-11-07,PHI,UTA,84,109,22,20,Lauren Holtkamp,Bill Kennedy,Michael Smith
99,2016-11-07,WAS,HOU,106,114,20,18,Marc Davis,Eric Lewis,Dedric Taylor
100,2016-11-08,BRK,MIN,119,110,26,28,Nick Buchert,Bill Spooner,Scott Twardoski
101,2016-11-08,CLE,ATL,106,110,25,24,Tony Brown,Tre Maddox,Monty McCutchen
102,2016-11-08,LAL,DAL,97,109,14,15,Mark Ayotte,Dan Crawford,C.J. Washington
103,2016-11-08,MEM,DEN,108,107,19,34,Matt Boland,Justin Van Duyne,Tom Washington
104,2016-11-08,POR,PHO,124,121,28,33,Steve Anderson,Rodney Mott,Josh Tiven
105,2016-11-08,SAC,NOP,102,94,20,18,Sean Corbin,Pat Fraher,Haywoode Workman
106,2016-11-09,ATL,CHI,115,107,27,21,Kevin Cutler,Kane Fitzgerald,Derrick Stafford
107,2016-11-09,CHO,UTA,104,98,29,18,John Goble,Scott Twardoski,Sean Wright
108,2016-11-09,GSW,DAL,116,95,22,28,Pat Fraher,Ken Mauer,Ben Taylor
109,2016-11-09,IND,PHI,122,115,20,19,Tony Brothers,Derek Richardson,Kevin Scott
110,2016-11-09,LAC,POR,111,80,33,14,Bennie Adams,Haywoode Workman,Gary Zielinski
111,2016-11-09,NYK,BRK,110,96,17,27,Mike Callahan,Karl Lane,Michael Smith
112,2016-11-09,OKC,TOR,102,112,31,22,Mark Lindsay,James Williams,Leon Wood
